ID,Age.Cohort,Age,Gender,Expenditures,Ethnicity
10210,C.13-17,17,Female,2113,White not Hispanic
10409,E.22-50,37,Male,41924,White not Hispanic
10486,A.0-5,3,Male,1454,Hispanic
10538,D.18-21,19,Female,6400,Hispanic
10568,C.13-17,13,Male,4412,White not Hispanic
10690,C.13-17,15,Female,4566,Hispanic
10711,C.13-17,13,Female,3915,White not Hispanic
10778,C.13-17,17,Male,3873,Black
10820,C.13-17,14,Female,5021,White not Hispanic
10823,C.13-17,13,Male,2887,Hispanic
11000,C.13-17,13,Female,4154,White not Hispanic
11024,C.13-17,14,Male,3048,Hispanic
11115,C.13-17,15,Female,2757,White not Hispanic
11189,C.13-17,17,Male,5340,Multi Race
11201,D.18-21,20,Male,10047,Hispanic
11210,E.22-50,25,Female,34795,Black
11379,E.22-50,23,Female,43025,White not Hispanic
11380,E.22-50,41,Male,54115,Asian
11441,A.0-5,5,Female,1748,Hispanic
11466,C.13-17,15,Female,4515,Hispanic
11812,A.0-5,5,Male,1861,Hispanic
11842,A.0-5,5,Male,1598,Hispanic
11922,E.22-50,22,Female,46571,Hispanic
11935,A.0-5,3,Male,1066,Hispanic
12127,C.13-17,16,Female,3867,Black
12137,F.51-Over,71,Female,57928,White not Hispanic
12207,C.13-17,13,Female,4002,White not Hispanic
12530,D.18-21,18,Female,10434,Asian
12589,F.51-Over,63,Female,56134,White not Hispanic
12834,A.0-5,1,Male,1070,White not Hispanic
12850,C.13-17,13,Male,3775,Multi Race
12990,E.22-50,27,Female,35284,White not Hispanic
13119,D.18-21,21,Male,7219,White not Hispanic
13120,C.13-17,14,Male,4681,White not Hispanic
13195,C.13-17,15,Female,4629,Asian
13621,A.0-5,3,Female,2750,White not Hispanic
13692,C.13-17,15,Female,3392,Asian
13722,C.13-17,14,Male,5696,Black
13826,E.22-50,30,Female,46660,White not Hispanic
14233,B.6-12,6,Female,2354,Hispanic
14367,E.22-50,33,Male,40781,White not Hispanic
14427,B.6-12,10,Female,2559,Black
14520,E.22-50,25,Female,36428,White not Hispanic
14523,A.0-5,3,Male,674,Hispanic
14648,E.22-50,26,Male,39844,Asian
14653,C.13-17,17,Male,4046,White not Hispanic
14665,E.22-50,33,Male,36184,White not Hispanic
14845,C.13-17,16,Male,4968,Hispanic
15034,E.22-50,24,Male,36901,White not Hispanic
15060,F.51-Over,63,Female,50419,White not Hispanic
15111,A.0-5,1,Female,340,White not Hispanic
15205,E.22-50,24,Female,42192,Black
15366,F.51-Over,75,Female,49239,White not Hispanic
15422,E.22-50,27,Male,36057,White not Hispanic
15448,B.6-12,8,Female,2895,Hispanic
15487,E.22-50,24,Male,31512,White not Hispanic
15778,B.6-12,10,Female,1915,Hispanic
15801,C.13-17,16,Male,4091,Hispanic
15888,C.13-17,13,Male,4798,Hispanic
15970,F.51-Over,51,Female,54267,White not Hispanic
16048,B.6-12,6,Female,1783,Asian
16052,C.13-17,16,Female,3212,Hispanic
16306,C.13-17,15,Female,2029,White not Hispanic
16440,E.22-50,22,Male,37727,White not Hispanic
16515,D.18-21,20,Male,11998,Hispanic
16525,E.22-50,45,Male,50304,Hispanic
16981,A.0-5,5,Female,1130,Hispanic
17191,E.22-50,24,Female,45412,White not Hispanic
17276,E.22-50,32,Male,38310,Hispanic
17354,C.13-17,13,Female,3638,Hispanic
17361,F.51-Over,74,Female,54616,Asian
17456,E.22-50,26,Female,30504,Asian
17604,D.18-21,19,Male,7621,Hispanic
17605,D.18-21,18,Male,13677,White not Hispanic
17744,B.6-12,6,Female,1423,Hispanic
17799,C.13-17,17,Female,4395,Hispanic
18015,E.22-50,29,Male,38236,White not Hispanic
18057,C.13-17,17,Male,6798,White not Hispanic
18080,C.13-17,13,Female,4052,White not Hispanic
18095,E.22-50,48,Female,49424,White not Hispanic
18127,E.22-50,34,Female,39521,Hispanic
18223,B.6-12,9,Female,2471,Asian
18262,D.18-21,18,Male,15018,Hispanic
18313,C.13-17,16,Male,2924,White not Hispanic
18383,A.0-5,0,Male,1149,Multi Race
18421,C.13-17,15,Female,4525,Hispanic
18482,C.13-17,16,Male,3796,Hispanic
18492,D.18-21,18,Female,8730,Black
18655,E.22-50,28,Male,37247,Black
18656,E.22-50,28,Female,31027,White not Hispanic
18671,E.22-50,22,Male,27364,White not Hispanic
18749,E.22-50,27,Female,30998,White not Hispanic
18867,F.51-Over,66,Female,49851,Asian
18894,A.0-5,3,Male,1057,White not Hispanic
19107,E.22-50,22,Male,42623,White not Hispanic
19147,A.0-5,1,Male,1363,Hispanic
19148,C.13-17,13,Female,5324,Black
19228,E.22-50,22,Male,46513,Black
19247,C.13-17,15,Female,2521,White not Hispanic
19250,F.51-Over,94,Female,60871,Hispanic
19251,E.22-50,41,Female,42139,White not Hispanic
19290,A.0-5,5,Male,1713,Hispanic
19373,B.6-12,6,Female,1814,Asian
19412,F.51-Over,60,Female,57702,White not Hispanic
19510,E.22-50,23,Female,36607,White not Hispanic
19517,E.22-50,36,Male,29144,White not Hispanic
19571,D.18-21,21,Female,7193,White not Hispanic
19661,E.22-50,23,Female,49028,Hispanic
19662,F.51-Over,80,Female,54309,White not Hispanic
19663,B.6-12,6,Female,987,White not Hispanic
19825,E.22-50,25,Female,41107,White not Hispanic
19917,A.0-5,0,Male,904,White not Hispanic
20057,F.51-Over,65,Female,56752,White not Hispanic
20073,A.0-5,4,Female,1977,Hispanic
20380,B.6-12,12,Female,3450,Hispanic
20641,D.18-21,19,Male,10716,White not Hispanic
20810,D.18-21,20,Male,9161,Hispanic
20832,B.6-12,12,Female,3007,Hispanic
20872,E.22-50,33,Male,34558,White not Hispanic
20876,C.13-17,15,Male,3269,Hispanic
20918,E.22-50,24,Female,40980,Hispanic
20976,A.0-5,4,Male,1196,Hispanic
20984,D.18-21,18,Male,4814,Black
21140,A.0-5,5,Male,1997,White not Hispanic
21158,E.22-50,24,Female,51149,Hispanic
21167,D.18-21,18,Female,11038,Hispanic
21296,D.18-21,21,Male,3988,Asian
21305,D.18-21,18,Female,12306,White not Hispanic
21351,D.18-21,19,Female,12649,Hispanic
21503,E.22-50,24,Male,37416,White not Hispanic
21585,B.6-12,11,Female,2664,Hispanic
21591,F.51-Over,66,Female,59926,Hispanic
21742,D.18-21,20,Female,10696,Asian
22056,D.18-21,19,Male,9972,Hispanic
