M.F,Admit,Dept
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,Yes,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
Male,No,A
