Iteration,Potential_Customers,Actual_Customers,Total_Spending
1,6,2,1234.66475446603
2,4,3,1160.3764194395203
3,6,4,1785.3258758521408
4,7,6,2873.1300697684583
5,10,9,4051.17786776644
6,5,2,1196.227964161215
7,6,5,2479.421413129799
8,8,6,2867.6092589761424
9,5,1,535.7112571511747
10,10,7,3344.040586412251
11,9,8,4240.603079881798
12,8,6,2780.3704573672007
13,8,4,2040.071188496051
14,11,8,4332.525579895517
15,8,6,3416.6345911476037
16,4,2,996.9633041270288
17,11,9,4539.55100126176
18,13,7,3176.7055786588153
19,5,3,1744.3045864248604
20,7,7,3488.831007054061
21,9,7,3223.27495279052
22,5,3,1781.148133952769
23,3,2,1102.3255520211064
24,9,7,3482.603108247347
25,12,8,4233.608509080741
26,4,3,1618.5499622251673
27,7,4,1955.5791643333193
28,4,2,920.7575852728684
29,9,4,1946.2682040851862
30,3,1,499.54371710097035
31,8,2,1023.6684882592211
32,10,7,3153.3606752693454
33,16,13,6465.58786394912
34,8,4,2291.364227528932
35,5,2,1236.687034236459
36,2,2,971.3465688216244
37,11,8,3698.6730069387227
38,6,6,2578.3069669055253
39,5,2,1023.0990542064958
40,7,3,1896.668792605454
41,5,5,2327.992471674928
42,10,7,3390.722321443517
43,4,3,1294.3389312508893
44,8,3,1959.5944785507968
45,5,3,1321.5337480780595
46,4,3,1626.5093051756435
47,11,9,4528.862679466342
48,10,5,2491.2138611430455
49,8,3,1501.2045980647551
50,5,2,1052.752354540315
51,5,4,2433.1914037375423
52,7,2,915.4479579021444
53,9,5,2573.9134084753186
54,9,6,2772.063987189978
55,5,3,1435.2146444682799
56,5,1,473.11113094451696
57,6,2,831.9812084378093
58,3,1,445.31410587596076
59,6,2,1037.7886794169199
60,4,2,994.0762458933489
61,3,3,1374.27264860562
62,7,5,2375.009955236274
63,9,7,3621.7440522672728
64,7,7,3499.3057594546412
65,4,2,950.6538498018953
66,5,2,943.1383832123755
67,7,4,1936.2744484841867
68,5,5,2862.9045580803186
69,7,2,811.8185334968326
70,12,6,3208.85239629623
71,6,5,2502.898364887493
72,8,3,1698.3587753920647
73,10,7,2873.051138298423
74,10,4,2129.2214098587574
75,5,1,642.0504247989854
76,7,6,3042.7071355340067
77,6,3,1075.3703227734536
78,16,12,5864.085641102023
79,9,3,1582.1288128207552
80,4,1,397.348470058894
81,6,4,2282.5731310908745
82,8,4,2014.317824378853
83,8,7,3759.6615678842063
84,7,6,2765.008550833113
85,5,5,2128.6037155390572
86,6,1,499.63974609094316
87,4,2,859.4457928286861
88,3,2,1030.689848931122
89,5,1,562.3309806654604
90,8,3,1859.025454295199
91,4,3,1441.4630820118027
92,11,8,3972.9757285873347
93,9,6,3170.28032572304
94,8,3,1407.1921790390372
95,7,2,670.4387570732006
96,5,4,2172.9933427840137
97,8,6,3105.4134306417523
98,6,2,1083.5611094593899
99,5,4,2032.8857877796374
100,11,4,2228.057292320246
101,5,1,385.69950872695165
102,14,8,3399.5252677422604
103,8,7,3566.5518221695766
104,4,2,1032.2782979493466
105,5,4,1847.9798256487659
106,6,3,1516.3352297572355
107,8,4,2075.504729359826
108,7,3,1706.2026513354817
109,7,6,3168.5525822463287
110,10,8,3799.9153431937366
111,4,2,910.6939965452201
112,9,5,2463.856793284234
113,8,1,507.29967559733575
114,9,6,2623.127511328623
115,10,4,1776.8109073672385
116,6,2,1096.701539079138
117,6,5,2682.0111844221237
118,6,3,1642.5950723121855
119,5,2,967.8600742677563
120,10,7,3659.906532940658
121,4,2,897.4954769802183
122,6,3,1137.7536870254494
123,9,3,1427.5219781670162
124,7,4,1964.3201075986628
125,2,0,0.0
126,7,6,3222.343304777806
127,6,1,435.6481769619857
128,10,6,3169.0178666634283
129,12,7,3688.1370255675142
130,11,10,5016.854308988501
131,4,2,744.3835253290753
132,10,5,2715.315668463849
133,8,5,2680.047950084068
134,5,4,2297.4167169801894
135,8,5,2308.1975507366224
